file	record_id	plasmid	feature_label	feature_key	location_1based	strand	length_bp	source_note	caveat
full_plasmids_fasta/pFA6a-kanMX6__full_plasmid.fasta	pFA6a-kanMX6|full_plasmid|length=3938bp	pFA6a-kanMX6	full_plasmid	source/plasmid	1..3938	+	3938	NovoPro V010292; cross-check Addgene #39296	full plasmid sequence from downloaded GenBank file
annotated_features_fasta/pFA6a-kanMX6__kanMX__gene__115-1471_plus.fasta	pFA6a-kanMX6|kanMX|gene|115..1471|strand=+|length=1357bp	pFA6a-kanMX6	kanMX	gene	115..1471	+	1357	NovoPro V010292; cross-check Addgene #39296	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-kanMX6__T7_promoter__promoter__1576-1594_revcomp.fasta	pFA6a-kanMX6|T7 promoter|promoter|1576..1594|strand=-|length=19bp	pFA6a-kanMX6	T7 promoter	promoter	1576..1594	-	19	NovoPro V010292; cross-check Addgene #39296	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-kanMX6__ori__rep_origin__1852-2440_revcomp.fasta	pFA6a-kanMX6|ori|rep_origin|1852..2440|strand=-|length=589bp	pFA6a-kanMX6	ori	rep_origin	1852..2440	-	589	NovoPro V010292; cross-check Addgene #39296	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-kanMX6__AmpR__CDS__2614-3471_revcomp.fasta	pFA6a-kanMX6|AmpR|CDS|2614..3471|strand=-|length=858bp	pFA6a-kanMX6	AmpR	CDS	2614..3471	-	858	NovoPro V010292; cross-check Addgene #39296	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-kanMX6__AmpR_promoter__promoter__3472-3576_revcomp.fasta	pFA6a-kanMX6|AmpR promoter|promoter|3472..3576|strand=-|length=105bp	pFA6a-kanMX6	AmpR promoter	promoter	3472..3576	-	105	NovoPro V010292; cross-check Addgene #39296	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-kanMX6__SP6_promoter__promoter__3922-3938_plus.fasta	pFA6a-kanMX6|SP6 promoter|promoter|3922..3938|strand=+|length=17bp	pFA6a-kanMX6	SP6 promoter	promoter	3922..3938	+	17	NovoPro V010292; cross-check Addgene #39296	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
full_plasmids_fasta/pFA6a-GFP-S65T-kanMX6__full_plasmid.fasta	pFA6a-GFP-S65T-kanMX6|full_plasmid|length=4854bp	pFA6a-GFP-S65T-kanMX6	full_plasmid	source/plasmid	1..4854	+	4854	NovoPro V010307; cross-check Addgene #39292/SnapGene	full plasmid sequence from downloaded GenBank file
annotated_features_fasta/pFA6a-GFP-S65T-kanMX6__GFP_S65T__CDS__63-773_plus.fasta	pFA6a-GFP-S65T-kanMX6|GFP (S65T)|CDS|63..773|strand=+|length=711bp	pFA6a-GFP-S65T-kanMX6	GFP (S65T)	CDS	63..773	+	711	NovoPro V010307; cross-check Addgene #39292/SnapGene	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-GFP-S65T-kanMX6__ADH1_terminator__terminator__797-984_plus.fasta	pFA6a-GFP-S65T-kanMX6|ADH1 terminator|terminator|797..984|strand=+|length=188bp	pFA6a-GFP-S65T-kanMX6	ADH1 terminator	terminator	797..984	+	188	NovoPro V010307; cross-check Addgene #39292/SnapGene	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-GFP-S65T-kanMX6__kanMX__gene__1031-2387_plus.fasta	pFA6a-GFP-S65T-kanMX6|kanMX|gene|1031..2387|strand=+|length=1357bp	pFA6a-GFP-S65T-kanMX6	kanMX	gene	1031..2387	+	1357	NovoPro V010307; cross-check Addgene #39292/SnapGene	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-GFP-S65T-kanMX6__T7_promoter__promoter__2492-2510_revcomp.fasta	pFA6a-GFP-S65T-kanMX6|T7 promoter|promoter|2492..2510|strand=-|length=19bp	pFA6a-GFP-S65T-kanMX6	T7 promoter	promoter	2492..2510	-	19	NovoPro V010307; cross-check Addgene #39292/SnapGene	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-GFP-S65T-kanMX6__ori__rep_origin__2768-3356_revcomp.fasta	pFA6a-GFP-S65T-kanMX6|ori|rep_origin|2768..3356|strand=-|length=589bp	pFA6a-GFP-S65T-kanMX6	ori	rep_origin	2768..3356	-	589	NovoPro V010307; cross-check Addgene #39292/SnapGene	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-GFP-S65T-kanMX6__AmpR__CDS__3530-4387_revcomp.fasta	pFA6a-GFP-S65T-kanMX6|AmpR|CDS|3530..4387|strand=-|length=858bp	pFA6a-GFP-S65T-kanMX6	AmpR	CDS	3530..4387	-	858	NovoPro V010307; cross-check Addgene #39292/SnapGene	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-GFP-S65T-kanMX6__AmpR_promoter__promoter__4388-4492_revcomp.fasta	pFA6a-GFP-S65T-kanMX6|AmpR promoter|promoter|4388..4492|strand=-|length=105bp	pFA6a-GFP-S65T-kanMX6	AmpR promoter	promoter	4388..4492	-	105	NovoPro V010307; cross-check Addgene #39292/SnapGene	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-GFP-S65T-kanMX6__SP6_promoter__promoter__4838-4854_plus.fasta	pFA6a-GFP-S65T-kanMX6|SP6 promoter|promoter|4838..4854|strand=+|length=17bp	pFA6a-GFP-S65T-kanMX6	SP6 promoter	promoter	4838..4854	+	17	NovoPro V010307; cross-check Addgene #39292/SnapGene	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
full_plasmids_fasta/pFA6a-kanMX6-PGAL1-GFP__full_plasmid.fasta	pFA6a-kanMX6-PGAL1-GFP|full_plasmid|length=5404bp	pFA6a-kanMX6-PGAL1-GFP	full_plasmid	source/plasmid	1..5404	+	5404	NovoPro V010295; GAL1 promoter feature	full plasmid sequence from downloaded GenBank file
annotated_features_fasta/pFA6a-kanMX6-PGAL1-GFP__ADH1_terminator__terminator__50-237_revcomp.fasta	pFA6a-kanMX6-PGAL1-GFP|ADH1 terminator|terminator|50..237|strand=-|length=188bp	pFA6a-kanMX6-PGAL1-GFP	ADH1 terminator	terminator	50..237	-	188	NovoPro V010295; GAL1 promoter feature	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-kanMX6-PGAL1-GFP__GFP_S65T__CDS__261-971_revcomp.fasta	pFA6a-kanMX6-PGAL1-GFP|GFP (S65T)|CDS|261..971|strand=-|length=711bp	pFA6a-kanMX6-PGAL1-GFP	GFP (S65T)	CDS	261..971	-	711	NovoPro V010295; GAL1 promoter feature	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-kanMX6-PGAL1-GFP__start_codon__CDS__984-986_revcomp.fasta	pFA6a-kanMX6-PGAL1-GFP|start codon|CDS|984..986|strand=-|length=3bp	pFA6a-kanMX6-PGAL1-GFP	start codon	CDS	984..986	-	3	NovoPro V010295; GAL1 promoter feature	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-kanMX6-PGAL1-GFP__GAL1_promoter__promoter__1006-1447_revcomp.fasta	pFA6a-kanMX6-PGAL1-GFP|GAL1 promoter|promoter|1006..1447|strand=-|length=442bp	pFA6a-kanMX6-PGAL1-GFP	GAL1 promoter	promoter	1006..1447	-	442	NovoPro V010295; GAL1 promoter feature	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-kanMX6-PGAL1-GFP__kanMX__gene__1581-2937_plus.fasta	pFA6a-kanMX6-PGAL1-GFP|kanMX|gene|1581..2937|strand=+|length=1357bp	pFA6a-kanMX6-PGAL1-GFP	kanMX	gene	1581..2937	+	1357	NovoPro V010295; GAL1 promoter feature	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-kanMX6-PGAL1-GFP__T7_promoter__promoter__3042-3060_revcomp.fasta	pFA6a-kanMX6-PGAL1-GFP|T7 promoter|promoter|3042..3060|strand=-|length=19bp	pFA6a-kanMX6-PGAL1-GFP	T7 promoter	promoter	3042..3060	-	19	NovoPro V010295; GAL1 promoter feature	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-kanMX6-PGAL1-GFP__ori__rep_origin__3318-3906_revcomp.fasta	pFA6a-kanMX6-PGAL1-GFP|ori|rep_origin|3318..3906|strand=-|length=589bp	pFA6a-kanMX6-PGAL1-GFP	ori	rep_origin	3318..3906	-	589	NovoPro V010295; GAL1 promoter feature	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-kanMX6-PGAL1-GFP__AmpR__CDS__4080-4937_revcomp.fasta	pFA6a-kanMX6-PGAL1-GFP|AmpR|CDS|4080..4937|strand=-|length=858bp	pFA6a-kanMX6-PGAL1-GFP	AmpR	CDS	4080..4937	-	858	NovoPro V010295; GAL1 promoter feature	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-kanMX6-PGAL1-GFP__AmpR_promoter__promoter__4938-5042_revcomp.fasta	pFA6a-kanMX6-PGAL1-GFP|AmpR promoter|promoter|4938..5042|strand=-|length=105bp	pFA6a-kanMX6-PGAL1-GFP	AmpR promoter	promoter	4938..5042	-	105	NovoPro V010295; GAL1 promoter feature	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-kanMX6-PGAL1-GFP__SP6_promoter__promoter__5388-5404_plus.fasta	pFA6a-kanMX6-PGAL1-GFP|SP6 promoter|promoter|5388..5404|strand=+|length=17bp	pFA6a-kanMX6-PGAL1-GFP	SP6 promoter	promoter	5388..5404	+	17	NovoPro V010295; GAL1 promoter feature	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
full_plasmids_fasta/pFA6a-3HA-kanMX6__full_plasmid.fasta	pFA6a-3HA-kanMX6|full_plasmid|length=4248bp	pFA6a-3HA-kanMX6	full_plasmid	source/plasmid	1..4248	+	4248	NovoPro V010312; cross-check Addgene #39295	full plasmid sequence from downloaded GenBank file
annotated_features_fasta/pFA6a-3HA-kanMX6__3xHA__CDS__69-158_plus.fasta	pFA6a-3HA-kanMX6|3xHA|CDS|69..158|strand=+|length=90bp	pFA6a-3HA-kanMX6	3xHA	CDS	69..158	+	90	NovoPro V010312; cross-check Addgene #39295	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-3HA-kanMX6__ADH1_terminator__terminator__191-378_plus.fasta	pFA6a-3HA-kanMX6|ADH1 terminator|terminator|191..378|strand=+|length=188bp	pFA6a-3HA-kanMX6	ADH1 terminator	terminator	191..378	+	188	NovoPro V010312; cross-check Addgene #39295	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
annotated_features_fasta/pFA6a-3HA-kanMX6__kanMX__gene__425-1781_plus.fasta	pFA6a-3HA-kanMX6|kanMX|gene|425..1781|strand=+|length=1357bp	pFA6a-3HA-kanMX6	kanMX	gene	425..1781	+	1357	NovoPro V010312; cross-check Addgene #39295	extracted in annotated feature orientation; reverse-complemented where GenBank location is complement(...)
