record_kind	source_plasmid	feature_label	feature_type	start_1based	end_1based_inclusive	strand	length_bp	orientation_in_this_fasta	source_record_length_bp	source_page	sequence_file_url	notes
feature	pFA6a-kanMX6	kanMX	gene	115	1471	+	1357	feature orientation; if source strand is -, sequence was reverse-complemented	3938	https://www.addgene.org/39296/	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-kanMX6.gb	
feature	pFA6a-natMX6	natMX6	gene	113	1232	+	1120	feature orientation; if source strand is -, sequence was reverse-complemented	3701	https://www.novoprolabs.com/vector/V10291	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-natMX6.gb	
feature	pFA6a-natMX6	TEF promoter	promoter	113	456	+	344	feature orientation; if source strand is -, sequence was reverse-complemented	3701	https://www.novoprolabs.com/vector/V10291	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-natMX6.gb	
feature	pFA6a-natMX6	NrsR	CDS	457	1029	+	573	feature orientation; if source strand is -, sequence was reverse-complemented	3701	https://www.novoprolabs.com/vector/V10291	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-natMX6.gb	
feature	pFA6a-natMX6	TEF terminator	terminator	1035	1232	+	198	feature orientation; if source strand is -, sequence was reverse-complemented	3701	https://www.novoprolabs.com/vector/V10291	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-natMX6.gb	
feature	pFA6a-hphMX6	hphMX6	gene	112	1687	+	1576	feature orientation; if source strand is -, sequence was reverse-complemented	4156	https://www.novoprolabs.com/vector/V10297	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-hphMX6.gb	
feature	pFA6a-His3MX6	HIS3MX6	gene	115	1315	+	1201	feature orientation; if source strand is -, sequence was reverse-complemented	3782	https://www.addgene.org/41596/ ; https://www.novoprolabs.com/vector/V10298	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-His3MX6.gb	
feature	pFA6a-TRP1	TRP1 promoter	promoter	76	223	+	148	feature orientation; if source strand is -, sequence was reverse-complemented	3415	https://www.snapgene.com/plasmids/yeast_plasmids/pFA6a-TRP1	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-TRP1.gb	
feature	pFA6a-TRP1	TRP1	CDS	224	895	+	672	feature orientation; if source strand is -, sequence was reverse-complemented	3415	https://www.snapgene.com/plasmids/yeast_plasmids/pFA6a-TRP1	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-TRP1.gb	
feature	pFA6a-GFP-S65T-kanMX6	GFP (S65T)	CDS	63	773	+	711	feature orientation; if source strand is -, sequence was reverse-complemented	4854	https://www.addgene.org/39292/	https://www.novoprolabs.com/uploads/vector-maps/pFA6a-GFP-S65T-kanMX6.gb	
